T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
100,Bulgaria,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.7
100,Bulgaria,2005,All staff compensation as % of total expenditure in public institutions (%),63.2
100,Bulgaria,2005,Capital expenditure as % of total expenditure in public institutions (%),10.1
100,Bulgaria,2005,Public expenditure on education (% of GDP),4.1
100,Bulgaria,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4
100,Bulgaria,2010,All staff compensation as % of total expenditure in public institutions (%),66.6
100,Bulgaria,2010,Capital expenditure as % of total expenditure in public institutions (%),5.1
100,Bulgaria,2010,Public expenditure on education (% of GDP),3.9
100,Bulgaria,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
100,Bulgaria,2013,All staff compensation as % of total expenditure in public institutions (%),71.8
100,Bulgaria,2013,Capital expenditure as % of total expenditure in public institutions (%),7.3
100,Bulgaria,2013,Public expenditure on education (% of GDP),4.1
100,Bulgaria,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.9
100,Bulgaria,2017,All staff compensation as % of total expenditure in public institutions (%),72.6
100,Bulgaria,2017,Capital expenditure as % of total expenditure in public institutions (%),4.5
100,Bulgaria,2017,Public expenditure on education (% of GDP),4.1
854,Burkina Faso,2005,Public expenditure on education (% of GDP),3.9
854,Burkina Faso,2007,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8
854,Burkina Faso,2007,All staff compensation as % of total expenditure in public institutions (%),56.7
854,Burkina Faso,2007,Capital expenditure as % of total expenditure in public institutions (%),35.3
854,Burkina Faso,2007,Public expenditure on education (% of GDP),4.1
854,Burkina Faso,2010,Public expenditure on education (% of GDP),3.5
854,Burkina Faso,2015,Public expenditure on education (% of GDP),3.7
854,Burkina Faso,2019,Basic access to computers by level of education: Primary,6
854,Burkina Faso,2019,Basic access to computers by level of education: Lower secondary,0
854,Burkina Faso,2019,Basic access to computers by level of education: Upper secondary,0
854,Burkina Faso,2019,Public expenditure on education (% of GDP),5.8
854,Burkina Faso,2020,Basic access to computers by level of education: Primary,4.3
854,Burkina Faso,2020,Basic access to computers by level of education: Lower secondary,4
854,Burkina Faso,2020,Basic access to computers by level of education: Upper secondary,3
108,Burundi,2005,Public expenditure on education (% of GDP),3.6
108,Burundi,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.7
108,Burundi,2010,All staff compensation as % of total expenditure in public institutions (%),68.5
108,Burundi,2010,Capital expenditure as % of total expenditure in public institutions (%),7.9
108,Burundi,2010,Public expenditure on education (% of GDP),6.8
108,Burundi,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.5
108,Burundi,2012,All staff compensation as % of total expenditure in public institutions (%),77.6
108,Burundi,2012,Capital expenditure as % of total expenditure in public institutions (%),1.9
108,Burundi,2012,Public expenditure on education (% of GDP),6.2
108,Burundi,2015,Public expenditure on education (% of GDP),6.4
108,Burundi,2018,Basic access to computers by level of education: Primary,0
108,Burundi,2018,Basic access to computers by level of education: Upper secondary,17
108,Burundi,2018,Public expenditure on education (% of GDP),5.1
108,Burundi,2019,Basic access to computers by level of education: Primary,0
108,Burundi,2019,Basic access to computers by level of education: Lower secondary,0
132,Cabo Verde,2004,Public expenditure on education (% of GDP),7.5
132,Cabo Verde,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),2.1
132,Cabo Verde,2005,All staff compensation as % of total expenditure in public institutions (%),82.4
132,Cabo Verde,2005,Capital expenditure as % of total expenditure in public institutions (%),16.7
132,Cabo Verde,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.6
132,Cabo Verde,2010,All staff compensation as % of total expenditure in public institutions (%),77.1
132,Cabo Verde,2010,Capital expenditure as % of total expenditure in public institutions (%),7.3
132,Cabo Verde,2010,Public expenditure on education (% of GDP),5.6
132,Cabo Verde,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.3
132,Cabo Verde,2015,All staff compensation as % of total expenditure in public institutions (%),82
132,Cabo Verde,2015,Capital expenditure as % of total expenditure in public institutions (%),3.6
132,Cabo Verde,2015,Public expenditure on education (% of GDP),5.3
132,Cabo Verde,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.2
132,Cabo Verde,2016,All staff compensation as % of total expenditure in public institutions (%),82.8
132,Cabo Verde,2016,Capital expenditure as % of total expenditure in public institutions (%),4.9
132,Cabo Verde,2016,Basic access to computers by level of education: Lower secondary,100
132,Cabo Verde,2016,Basic access to computers by level of education: Upper secondary,100
132,Cabo Verde,2016,Public expenditure on education (% of GDP),5.3
132,Cabo Verde,2019,Basic access to computers by level of education: Primary,44.4
132,Cabo Verde,2019,Basic access to computers by level of education: Lower secondary,100
132,Cabo Verde,2019,Basic access to computers by level of education: Upper secondary,100
132,Cabo Verde,2019,Public expenditure on education (% of GDP),4.7
116,Cambodia,2004,Public expenditure on education (% of GDP),1.7
116,Cambodia,2010,Public expenditure on education (% of GDP),1.5
116,Cambodia,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),57.3
116,Cambodia,2012,All staff compensation as % of total expenditure in public institutions (%),42.7
116,Cambodia,2012,Public expenditure on education (% of GDP),1.6
116,Cambodia,2014,Capital expenditure as % of total expenditure in public institutions (%),0.5
116,Cambodia,2014,Public expenditure on education (% of GDP),1.9
116,Cambodia,2018,Public expenditure on education (% of GDP),2.2
120,Cameroon,2005,Public expenditure on education (% of GDP),2.9
120,Cameroon,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
120,Cameroon,2010,All staff compensation as % of total expenditure in public institutions (%),80.2
120,Cameroon,2010,Capital expenditure as % of total expenditure in public institutions (%),13.4
120,Cameroon,2010,Public expenditure on education (% of GDP),3
120,Cameroon,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.7
120,Cameroon,2013,All staff compensation as % of total expenditure in public institutions (%),75.7
120,Cameroon,2013,Capital expenditure as % of total expenditure in public institutions (%),13.6
120,Cameroon,2013,Public expenditure on education (% of GDP),2.8
120,Cameroon,2015,Public expenditure on education (% of GDP),2.8
120,Cameroon,2016,Basic access to computers by level of education: Lower secondary,72
120,Cameroon,2016,Basic access to computers by level of education: Upper secondary,84
120,Cameroon,2016,Public expenditure on education (% of GDP),2.7
120,Cameroon,2019,Public expenditure on education (% of GDP),3.1
124,Canada,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.4
124,Canada,2005,All staff compensation as % of total expenditure in public institutions (%),70
124,Canada,2005,Capital expenditure as % of total expenditure in public institutions (%),4.6
124,Canada,2005,Public expenditure on education (% of GDP),4.8
124,Canada,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.5
124,Canada,2010,All staff compensation as % of total expenditure in public institutions (%),65.8
